Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validate if user can invite members,Chrome 71.0.3578.98,,2019-02-06 13:49:32,2019-02-06 13:49:51,19.413s,PASSED
,,,,,,
Test Cases/TEMPLATES/LOGIN/LOGIN_TEMPLATE,Chrome 71.0.3578.98,,2019-02-06 13:49:32,2019-02-06 13:49:48,16.168s,PASSED
"openBrowser(""https://app.stratapp.ai/"")",Chrome 71.0.3578.98,,2019-02-06 13:49:33,2019-02-06 13:49:41,8.203s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-06 13:49:41,2019-02-06 13:49:42,1.151s,PASSED
"waitForElementPresent(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:49:42,2019-02-06 13:49:42,0.071s,PASSED
"setText(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), EMAIL)",Chrome 71.0.3578.98,,2019-02-06 13:49:42,2019-02-06 13:49:42,0.165s,PASSED
"click(findTestObject(""LOGIN/NEXT_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:49:42,2019-02-06 13:49:42,0.085s,PASSED
"isGoogle = verifyElementPresent(findTestObject(""LOGIN/GOOGLE_LABEL""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:49:42,2019-02-06 13:49:43,0.798s,PASSED
if (isGoogle),Chrome 71.0.3578.98,,2019-02-06 13:49:43,2019-02-06 13:49:48,5.016s,PASSED
"waitForElementPresent(findTestObject(""HOME/HEADLINES_TAB""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:49:48,2019-02-06 13:49:48,0.031s,PASSED
stratapp.Login.GetUserName(),Chrome 71.0.3578.98,,2019-02-06 13:49:48,2019-02-06 13:49:48,0.108s,PASSED
,,,,,,
Test Cases/TEMPLATES/LOGIN/LOGOUT_TEMPLATE,Chrome 71.0.3578.98,,2019-02-06 13:49:48,2019-02-06 13:49:51,2.952s,PASSED
"waitForElementClickable(findTestObject(""MENU/PROFILE_BUTTON""), 0)",Chrome 71.0.3578.98,,2019-02-06 13:49:48,2019-02-06 13:49:49,0.440s,PASSED
"mouseOver(findTestObject(""MENU/PROFILE_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:49:49,2019-02-06 13:49:49,0.103s,PASSED
"click(findTestObject(""MENU/PROFILE_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:49:49,2019-02-06 13:49:49,0.168s,PASSED
"waitForElementVisible(findTestObject(""MENU/LOGOUT_BUTTON""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:49:49,2019-02-06 13:49:50,0.573s,PASSED
"mouseOver(findTestObject(""MENU/LOGOUT_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:49:50,2019-02-06 13:49:50,0.044s,PASSED
"click(findTestObject(""MENU/LOGOUT_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:49:50,2019-02-06 13:49:50,0.092s,PASSED
"waitForElementVisible(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:49:50,2019-02-06 13:49:50,0.558s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-06 13:49:50,2019-02-06 13:49:51,0.737s,PASSED
